original_name,revised_name
symbol,symbol
gi,gene_id
protlen,protein_len
transcripts,transcripts
length,gene_len
introns,introns
mcs_ds,mcs_ds
dmcs_ds,dmcs_ds
asd,asd
DevReg,devreg
cns,cns
housekeeping,housekeeping
RVIS,rvis
te,te
teLINE_L1,te_line_l1
teLINE_L2,te_line_l2
teSINE_MIR,te_sine_mir
teSINE_Alu,te_sine_alu
teL1_L1M,te_l1_l1m
teL1_L1PA,te_l1_l1pa
dte,dte
dteLINE_L1,dte_line_l1
dteLINE_L2,dte_line_l2
dteSINE_MIR,dte_sine_mir
dteSINE_Alu,dte_sine_alu
dteL1_L1M,dte_l1_l1m
dteL1_L1PA,dte_l1_l1pa
