symbol,asd,devreg,cns,housekeeping,gene_len,protein_len,transcripts,te,rvis
A1BG,no link,non-devreg,non-CNS,luxury,6694,495,2,5,-0.47
A1CF,no link,non-devreg,non-CNS,luxury,86267,594,12,106,-0.38
A2M,asd-linked,non-devreg,non-CNS,luxury,48255,1474,2,53,0.1
A2ML1,no link,non-devreg,non-CNS,luxury,54232,1454,4,100,2.42
A3GALT2,no link,non-devreg,non-CNS,luxury,14333,340,2,22,NA
A4GALT,no link,non-devreg,non-CNS,luxury,28750,353,2,72,-0.29
A4GNT,no link,non-devreg,non-CNS,luxury,8670,340,2,16,1.11
AAAS,no link,non-devreg,non-CNS,housekeeping,14173,546,4,37,-0.91
AACS,no link,non-devreg,non-CNS,luxury,77947,672,2,126,-1.17
AADAC,no link,non-devreg,non-CNS,luxury,14416,399,2,19,-0.09
AADACL2,no link,non-devreg,non-CNS,luxury,23853,401,2,21,-0.31
AADACL3,no link,non-devreg,non-CNS,luxury,12609,350,2,23,2.13
AADACL4,no link,non-devreg,non-CNS,luxury,22532,407,2,52,-0.62
AADAT,no link,non-devreg,non-CNS,luxury,29811,425,8,39,-0.12
AAED1,no link,non-devreg,non-CNS,luxury,14067,226,2,23,0.17
AAGAB,no link,non-devreg,non-CNS,housekeeping,54062,315,6,81,0.02
AAK1,no link,non-devreg,non-CNS,luxury,185851,961,2,289,-0.66
AAMDC,no link,Devreg,non-CNS,luxury,51191,122,2,137,0.28
AAMP,no link,non-devreg,non-CNS,housekeeping,6042,434,4,6,0.04
AANAT,no link,non-devreg,non-CNS,luxury,2570,207,4,0,-0.07
AAR2,no link,non-devreg,non-CNS,housekeeping,20525,384,4,45,-0.31
AARD,no link,non-devreg,non-CNS,luxury,5776,155,2,8,NA
AARS,no link,non-devreg,CNS,housekeeping,37116,968,2,96,-0.66
AARS2,no link,non-devreg,non-CNS,housekeeping,14601,985,2,23,1.14
AARSD1,no link,non-devreg,non-CNS,housekeeping,13973,412,2,40,-0.07
AASDH,no link,non-devreg,non-CNS,luxury,49182,1098,12,85,1.05
AASDHPPT,no link,non-devreg,non-CNS,housekeeping,21128,309,2,37,-0.38
AASS,no link,non-devreg,non-CNS,luxury,70747,926,2,109,-0.91
AATF,no link,non-devreg,non-CNS,housekeeping,107997,560,2,188,-0.29
AATK,no link,non-devreg,CNS,luxury,48777,1374,4,51,NA
ABAT,no link,non-devreg,non-CNS,luxury,109989,500,6,292,-0.33
ABCA1,no link,Devreg,non-CNS,luxury,147244,2261,2,227,-0.24
ABCA10,no link,non-devreg,non-CNS,luxury,96809,1543,2,118,1.04
ABCA12,no link,non-devreg,non-CNS,luxury,206886,2595,4,234,-0.3
ABCA13,asd-linked,non-devreg,non-CNS,luxury,476035,5058,2,608,4.73
ABCA2,asd-linked,non-devreg,non-CNS,luxury,21055,2436,4,2,-4.24
ABCA3,no link,non-devreg,non-CNS,luxury,64869,1704,2,112,-1.48
ABCA4,no link,non-devreg,non-CNS,luxury,128312,2273,2,149,0.74
ABCA5,no link,Devreg,non-CNS,luxury,82748,1642,4,111,0.77
ABCA6,no link,non-devreg,non-CNS,luxury,63169,1617,2,78,0.26
ABCA7,no link,non-devreg,non-CNS,luxury,25469,2146,2,30,-2.15
ABCA8,no link,non-devreg,non-CNS,luxury,88103,1581,6,99,0.91
ABCA9,no link,non-devreg,non-CNS,luxury,86364,1624,2,105,0.0
ABCB1,no link,non-devreg,non-CNS,luxury,209461,1280,2,297,0.1
ABCB10,no link,non-devreg,non-CNS,housekeeping,42114,738,2,79,-0.13
ABCB11,no link,non-devreg,non-CNS,luxury,108385,1321,2,142,-1.14
ABCB4,no link,non-devreg,non-CNS,luxury,73659,1286,6,95,-0.55
ABCB5,no link,non-devreg,non-CNS,luxury,141393,1257,8,211,4.18
ABCB6,no link,non-devreg,CNS,luxury,10687,842,2,10,-0.37
ABCB7,no link,non-devreg,non-CNS,housekeeping,103169,753,10,119,0.86
ABCB8,no link,non-devreg,non-CNS,luxury,19360,718,8,16,0.3
ABCB9,no link,non-devreg,non-CNS,luxury,37518,766,10,105,-1.82
ABCC1,asd-linked,non-devreg,non-CNS,luxury,193497,1531,2,524,-0.84
ABCC10,no link,non-devreg,non-CNS,luxury,22872,1492,4,32,-1.71
ABCC11,no link,non-devreg,non-CNS,luxury,68267,1382,6,160,1.62
ABCC12,no link,non-devreg,non-CNS,luxury,63798,1359,2,96,1.11
ABCC2,no link,non-devreg,non-CNS,luxury,69200,1545,2,108,0.96
ABCC3,no link,non-devreg,non-CNS,luxury,56846,1527,4,115,0.69
ABCC4,no link,non-devreg,non-CNS,luxury,281605,1325,8,449,0.21
ABCC5,no link,non-devreg,non-CNS,luxury,98004,1437,4,160,-1.97
ABCC6,no link,non-devreg,non-CNS,luxury,73907,1503,4,210,0.63
ABCC8,no link,non-devreg,non-CNS,luxury,84018,1581,4,140,-2.09
ABCC9,no link,non-devreg,non-CNS,luxury,139305,1549,4,162,-1.97
ABCD1,no link,non-devreg,non-CNS,luxury,19894,745,2,17,-0.54
ABCD2,no link,non-devreg,non-CNS,luxury,68822,740,2,69,-0.09
ABCD3,no link,non-devreg,non-CNS,housekeeping,100287,659,4,159,-0.65
ABCD4,no link,non-devreg,non-CNS,luxury,17788,606,2,25,0.8
ABCE1,no link,non-devreg,non-CNS,housekeeping,31521,599,4,34,-0.25
ABCF1,no link,non-devreg,non-CNS,housekeeping,20140,845,4,38,-0.22
ABCF2,no link,non-devreg,non-CNS,housekeeping,2745,103,4,3,-0.47
ABCF3,no link,non-devreg,non-CNS,housekeeping,7933,709,2,7,-0.77
ABCG1,no link,Devreg,non-CNS,luxury,78088,678,12,55,-1.37
ABCG2,no link,non-devreg,non-CNS,luxury,68596,655,4,119,-0.2
ABCG4,no link,non-devreg,non-CNS,luxury,13625,646,4,18,-0.07
ABCG5,no link,non-devreg,non-CNS,luxury,26348,651,2,45,1.16
ABCG8,no link,non-devreg,non-CNS,luxury,39503,673,2,31,0.74
ABHD1,no link,non-devreg,non-CNS,luxury,7024,405,2,8,-0.11
ABHD10,no link,non-devreg,non-CNS,housekeeping,14493,306,4,15,0.6
ABHD11,no link,non-devreg,non-CNS,luxury,2766,315,8,2,-0.4
ABHD12,no link,non-devreg,non-CNS,housekeeping,96240,404,4,158,-0.16
ABHD12B,no link,non-devreg,non-CNS,luxury,32811,362,4,40,1.04
ABHD13,no link,non-devreg,non-CNS,housekeeping,15841,337,2,13,-0.32
ABHD14A,no link,non-devreg,non-CNS,housekeeping,6175,271,2,8,0.77
ABHD14B,no link,non-devreg,non-CNS,luxury,6121,210,6,11,0.22
ABHD15,no link,non-devreg,non-CNS,luxury,6354,468,2,8,-0.25
ABHD16A,no link,non-devreg,non-CNS,housekeeping,16412,558,4,28,-0.34
ABHD16B,no link,non-devreg,non-CNS,luxury,1776,469,2,0,NA
ABHD17A,no link,non-devreg,non-CNS,housekeeping,8544,310,4,3,NA
ABHD17B,no link,non-devreg,non-CNS,housekeeping,48781,293,4,95,-0.34
ABHD17C,no link,non-devreg,non-CNS,luxury,60311,329,2,93,NA
ABHD2,no link,non-devreg,non-CNS,luxury,114211,425,4,176,-0.03
ABHD3,no link,non-devreg,non-CNS,luxury,53909,409,2,123,-0.2
