symbol,gi,protlen,transcripts,length,introns,mcs_ds,dmcs_ds,asd,DevReg,cns,housekeeping,RVIS,te,teLINE_L1,teLINE_L2,teSINE_MIR,teSINE_Alu,teL1_L1M,teL1_L1PA,dte,dteLINE_L1,dteLINE_L2,dteSINE_MIR,dteSINE_Alu,dteL1_L1M,dteL1_L1PA
A1BG,1,495,2,6694,6,0,0,no link,non-devreg,non-CNS,luxury,-0.47,5,0,0,1,4,0,0,0.746937556,0,0,0.149387511,0.597550045,0,0
A1CF,29974,594,12,86267,11,1283,14.87243094,no link,non-devreg,non-CNS,luxury,-0.38,106,22,9,24,18,18,2,1.22874332,0.255022199,0.104327263,0.278206035,0.208654526,0.208654526,0.023183836
A2M,2,1474,2,48255,34,1718,35.60252824,asd-linked,non-devreg,non-CNS,luxury,0.1,53,20,5,6,10,14,3,1.098331779,0.414464822,0.103616206,0.124339447,0.207232411,0.290125376,0.062169723
A2ML1,144568,1454,4,54232,34,1106,20.3938634,no link,non-devreg,non-CNS,luxury,2.42,100,6,5,10,58,6,0,1.843929783,0.110635787,0.092196489,0.184392978,1.069479274,0.110635787,0
A3GALT2,127550,340,2,14333,3,41,2.86053164,no link,non-devreg,non-CNS,luxury,NA,22,5,4,4,6,5,0,1.534919417,0.348845322,0.279076258,0.279076258,0.418614386,0.348845322,0
A4GALT,53947,353,2,28750,1,0,0,no link,non-devreg,non-CNS,luxury,-0.29,72,11,8,12,34,9,0,2.504347826,0.382608696,0.27826087,0.417391304,1.182608696,0.313043478,0
A4GNT,51146,340,2,8670,1,0,0,no link,non-devreg,non-CNS,luxury,1.11,16,2,3,1,5,2,0,1.84544406,0.230680507,0.346020761,0.115340254,0.576701269,0.230680507,0
AAAS,8086,546,4,14173,14,204,14.39356523,no link,non-devreg,non-CNS,housekeeping,-0.91,37,6,5,4,22,6,0,2.610597615,0.423340154,0.352783462,0.282226769,1.552247231,0.423340154,0
AACS,65985,672,2,77947,16,460,5.901445854,no link,non-devreg,non-CNS,luxury,-1.17,126,21,8,14,64,21,0,1.616482995,0.269413832,0.102633841,0.179609222,0.821070728,0.269413832,0
AADAC,13,399,2,14416,3,24,1.66481687,no link,non-devreg,non-CNS,luxury,-0.09,19,4,4,3,5,4,0,1.317980022,0.277469478,0.277469478,0.208102109,0.346836848,0.277469478,0
